Date,BANKEX,AUTO,CAPITALGOOD,FMCG,IT,METAL,REALTY,MID CAP,SMALL CAP,SENSEX
02-01-2017,20503.18,20651.73,13774.17,8135.58,10142.46,10300,1318.53,12131.4,12190.15,26595.45
03-01-2017,20615.91,20612.09,13882.04,8192.81,10126.01,10346.25,1322.99,12205.13,12315.16,26643.24
04-01-2017,20446.24,20665,13973.66,8200.69,10216.8,10332.13,1355.28,12194.63,12372.7,26633.13
05-01-2017,20722.41,21044.79,14120.62,8259.97,10138.06,10642.54,1368.34,12355.63,12493.47,26878.24
06-01-2017,20900.86,21009.68,14083.94,8193.12,9880.61,10638.98,1355.1,12321.72,12440.33,26759.23
09-01-2017,20922.08,20999.2,14081.62,8240.59,9938.7,10614.63,1363.5,12349.8,12495.71,26726.55
10-01-2017,21036.44,21263.44,14225.52,8304.66,9955.13,10753.16,1357.77,12448.56,12583.35,26899.56
11-01-2017,21542.16,21465.64,14423.4,8320.94,9953.35,11228.54,1359.55,12618.58,12706.75,27140.41
12-01-2017,21587.33,21424.55,14640.55,8241.13,10144.16,11235.11,1358.8,12642.49,12686.59,27247.16
13-01-2017,21657,21260.59,14584.95,8340.97,9952.06,11220.86,1352.1,12639.03,12689.85,27238.06
16-01-2017,21868.43,21379.31,14617.75,8334.73,9850.67,11330.24,1373.93,12673,12762.09,27288.17
17-01-2017,21854.64,21336.04,14618.96,8420.19,9881.78,11158.35,1376.62,12672.79,12804.76,27235.66
18-01-2017,21970.97,21345.85,14711.69,8451.75,9894.82,11411.96,1380.15,12729.41,12883.38,27257.64
19-01-2017,21928.18,21456.94,14719.03,8488.45,9914.45,11416.2,1378.67,12781.17,12925.58,27308.6
20-01-2017,21540.08,21250.41,14492.9,8497.09,9832.31,11145.52,1351.9,12583.89,12761.01,27034.5
23-01-2017,21540.55,21398.09,14412.39,8581.09,9894.02,11435.98,1360.18,12644.75,12821.07,27117.34
24-01-2017,21726.58,21755.24,14593.67,8607.86,9876.69,11629.33,1367.71,12766.72,12930.37,27375.58
25-01-2017,22232.01,22057.16,14816.79,8705.96,9854.46,11790.4,1387.66,12881.66,13042.86,27708.14
27-01-2017,22566.24,22201.35,14836.58,8574.14,9884.68,11806.22,1380.9,12964.73,13112.12,27882.46
30-01-2017,22394.75,22006.47,14837.13,8563.83,9878.88,11791.27,1379.25,13000.95,13069.85,27849.56
31-01-2017,22311.97,21809.24,14783.32,8567.58,9586.34,11672.32,1369.73,12857.47,12935.66,27655.96
01-02-2017,22927.39,22563.21,15105.32,8806.35,9466.9,11938.74,1435.89,13085.24,13153.14,28141.64
02-02-2017,23000.78,22322.07,14986.19,8873.29,9635.41,11956.36,1438.78,13205.36,13278.62,28226.61
03-02-2017,23137.98,22147.15,15096.23,8864.27,9698.6,11889.71,1451.89,13285.41,13422.1,28240.52
06-02-2017,23354.41,22288.07,15215.02,8977.67,9702.44,11853.76,1479.45,13430.94,13539.72,28439.28
07-02-2017,23314.32,22080.1,15385.38,8969.03,9725.05,11705.98,1473.87,13406.98,13528.05,28335.16
08-02-2017,23227.9,22230.98,15463.09,8933.85,9707.52,11807.91,1487.09,13474.98,13557.6,28289.92
09-02-2017,23118.37,22299.1,15418.05,8971.45,9866.87,11721.73,1498.93,13506.61,13582.89,28329.7
10-02-2017,23174.51,22194.95,15482.59,8916.14,10070.34,11694.63,1499.85,13468.41,13601.31,28334.25
13-02-2017,23206.86,22162.31,15403.76,8892.58,10156.61,11730.48,1482.88,13417.95,13523.65,28351.62
14-02-2017,23226.47,21919.81,15358.72,8876.01,10165.9,11621.09,1472.24,13342.59,13438.83,28339.31
15-02-2017,23073.02,21254.69,15186.75,8882.7,10130.11,11464.01,1420.26,13187.82,13234.82,28155.56
16-02-2017,23162.78,21596.03,15267.22,8800.82,10336.3,11693.45,1450.63,13352.59,13413.95,28301.27
17-02-2017,23442.01,21582.11,15294.73,8833.06,10231.18,11613.75,1453.62,13422.89,13467.64,28468.75
20-02-2017,23523.4,21722.12,15330.18,8828.03,10397.23,11850.45,1467.13,13514.49,13589.63,28661.58
21-02-2017,23751.15,21779.75,15381.87,8845.49,10379.91,11888.85,1467.82,13585.33,13651.91,28761.59
22-02-2017,23807.52,21767.85,15292.61,8834.41,10204.67,11828.75,1465.05,13506.93,13573.03,28864.71
23-02-2017,23825.17,21753.86,15336.73,8839.94,10378.56,11875.2,1476.52,13532.11,13587.78,28892.97
27-02-2017,23493.8,21538.46,15231.25,8828.87,10401.63,11842.55,1473.78,13533.78,13609.88,28812.88
28-02-2017,23482.44,21486.06,15333.49,8799.89,10376.1,11893.05,1495.06,13552.22,13690.81,28743.32
01-03-2017,23706.75,21546.27,15387.06,8914.32,10459.73,12119.76,1546.77,13569.56,13752.82,28984.49
02-03-2017,23437.49,21607.62,15318.41,8818.58,10440.65,12055.93,1479.59,13377.78,13574.48,28839.79
03-03-2017,23375.83,21557.77,15307.17,8783.79,10506.17,12139.07,1492.31,13409.04,13620.17,28832.45
06-03-2017,23580.76,21824.29,15413.66,8829.26,10485.9,12151.68,1505.13,13485.27,13670.73,29048.19
07-03-2017,23532.23,21714.56,15441.16,8837.48,10469.52,11934.42,1501.04,13503.84,13675.18,28999.56
08-03-2017,23570.21,21610.67,15345.43,8821.46,10405.55,11706.16,1479.37,13428.27,13632.9,28901.94
09-03-2017,23627.63,21732.38,15356.12,8824.4,10417.13,11630.07,1478.38,13399.68,13620.79,28929.13
10-03-2017,23625.66,21790.97,15429.02,8793.36,10456.6,11554.83,1474.37,13365.59,13604.96,28946.23
14-03-2017,24082.58,22064.65,15901.6,8933.88,10576.73,11520.35,1512.31,13557.2,13767.48,29442.63
